dmel	dsim
Myb	GD24674
na	GD17167
Atpalpha	GD19388
nau	GD18361
ncd	GD17657
ndl	GD13121
nec	nec
net	GD22993
neur	GD20824
ninaA	GD12008
ninaB	GD18923
ninaC	GD23465
ninaD	GD24127
ninaE	GD20095
slou	GD19974
nkd	GD12309
nod	GD17032
nos	nos
numb	GD23607
odd	GD22743
okr	GD12001
opa	GD19752
or	GD11816
ord	GD25069
ort	ort
osk	GD18580
osp	GD21995
otu	otu
ovo	GD24377
SP	Acp70A
pbl	GD13031
Pc	GD12124
Pcl	GD11340
Pcp	GD23446
pcx	GD16598
peb	GD27897
CG9757	GD20488
Fib	GD25085
CG2150	GD29267
Pepck	GD11392
per	GD26889
Pfk	GD10715
Pgi	GD28862
Pgm	GD27676
Raf	phl
phr	GD10512
pim	GD23684
pk	GD10467
Pkc53E	GD11233
Pkc98E	GD21405
plu	plu
pn	GD16595
pnr	GD27089
pnt	pnt
polo	GD14871
Poxm	GD29048
Poxn	GD25595
Pp1alpha-96A	GD21106
Ppn	GD18032
PpV	GD26791
PpY-55A	GD25428
pr	GD28180
prd	GD22133
Prm	GD12965
CG2841	GD16367
Pu	GD11572
pum	GD20817
put	GD20410
pwn	GD10469
px	GD25124
qua	GD21863
r	r
ras	GD16985
Ras85D	Ras85D
Ras64B	Ras64B
raw	GD22386
rb	GD16295
rdgB	GD17143
rec	GD20327
ref(2)P	ref(2)P
Rh2	GD19254
Rh3	GD20079
Rh4	GD12438
rib	GD11439
rk	GD22022
r-l	GD20011
ro	GD18113
rod	GD21584
amos	GD21828
RpLP2	GD11208
RpII18	GD19782
RpII215	GD15986
RpI135	GD23021
RpL4	GD21356
rst	GD16346
rt	GD12795
ru	GD13615
run	run
rut	rut
rux	rux
ry	ry
S	GD22931
sad	GD18786
sala	sala
sax	GD15359
Sb	GD19075
sbr	sbr
sca	GD10921
scb	GD11105
Sce	GD18065
Scm	GD20776
Scr	GD19518
sd	GD24822
RanGAP	GD12035
sei	GD11824
sesB	GD16013
sev	GD28084
sgg	GD24735
Sgs3	GD14311
Sh	GD15655
sha	GD15390
Shaw	GD23250
shd	GD14493
shf	GD16182
shg	GD25232
shi	shi
shn	GD10771
shu	GD25009
sina	GD14671
sisA	GD24535
skd	GD12147
sl	GD17281
slgA	GD17534
slo	GD21120
slp1	GD23260
sm	sm
smo	GD23013
sn	GD27235
sna	GD21953
snf	GD24751
snk	GD20523
stwl	GD17574
so	GD10477
Sod1	Sod
sog	sog
sol	GD17529
spir	GD24252
spn-A	GD17366
spn-B	GD18959
spn-D	GD21329
spn-E	GD19053
spz	spz
sr	GD19200
Btk29A	GD22424
srp	GD19064
Sry-alpha	Sry-alpha
Sry-beta	Sry-beta
Sry-delta	Sry-delta
ss	GD20292
sqh	sqh
st	st
sta	sta
stau	GD25416
stg	GD17842
stil	GD10901
sub	GD25444
Su(dx)	GD23128
su(f)	GD28079
su(Hw)	GD20429
su(sable)	GD27529
Su(var)3-7	GD18892
Su(var)205	HP1A
Su(var)2-10	GD10632
su(w[a])	GD28202
svp	GD18809
swa	GD16194
sws	sws
Syb	GD25998
CCT1	T-cp1
Tbp	GD25175
thr	GD25435
tipE	GD13821
tko	GD16364
tkv	GD22659
tld	tld
tll	GD21550
Tm1	GD19006
Egfr	GD11601
tor	GD10226
tra	tra
tra2	GD25673
trc	GD12245
Gr5a	GD16742
Treh	GD11560
trk	GD28558
trp	GD17578
trx	GD20433
tsg	GD15950
tsh	GD24333
tsl	GD18504
ttk	ttk
tub	tub
alphaTub85E	GD20767
betaTub60D	GD28531
betaTub85D	GD20798
betaTub97EF	GD15076
tud	GD11573
ptc	GD15378
tup	GD21801
twi	twi
RpL40	GD12014
RpS27A	GD23696
unc	GD15505
Uro	GD23486
ush	GD23030
usp	GD16395
v	v
vap	GD24496
vg	GD10928
vir	GD25058
vls	GD29007
Vm26Aa	GD22620
Vm26Ab	GD23372
vn	GD13173
hid	GD12350
wbl	GD11437
y	y
Yp1	GD16970
Yp3	GD28649
yrt	GD20496
z	z
Z600	GD14545
zen	GD19522
zen2	GD19524
uzip	GD11916
Zw	Zw
Prosalpha4	GD26895
Dhfr	GD19106
bs	GD11852
oc	oc
Cdk1	GD22264
Cdk2	GD19371
Nrt	GD14662
tin	tin
Tm2	GD15159
nAChRbeta2	GD18288
boca	GD10238
blow	GD10237
nullo	GD27477
kst	GD13758
5-HT1A	GD11428
up	up
sc	sc
mts	GD23492
Csp	GD17653
Ebp	GD24894
Ser	GD18089
ct	GD16852
nonA	GD24837
mex1	GD12559
Hrb87F	GD20484
Syt1	GD22802
Rdl	Rdl
T48	GD21313
Wnt2	GD10659
HmgD	GD11622
porin	GD22218
18w	18w
mei-41	GD17284
Ptp4E	GD16715
Ptp99A	GD21436
Ptp10D	Ptp10D
aly	aly
fwd	GD25715
neb	GD24244
Klp61F	GD13489
Klp67A	GD12936
Klp64D	GD13203
Klp68D	GD14330
Klp98A	GD18075
bnk	GD21562
RasGAP1	GD12887
shtd	GD15798
pdm2	GD23847
unk	GD18402
CrebA	GD14552
Vinc	GD27324
rhi	GD27086
Pep	GD12391
tam	GD22040
DNApol-gamma35	GD22037
me31B	GD23667
LysP	GD27298
LysX	GD13493
Cyp1	GD20227
Galphaq	GD10904
Ubc6	GD19645
Ten-m	GD12069
mew	GD15896
RpIII128	GD10835
Su(P)	Su(P)
GlyP	GD23132
Fur1	GD18200
Ets97D	GD18111
dy	dy
Mdr49	GD25799
Mdr65	GD13132
Oct-TyrR	GD15016
Gad1	GD13295
Akh	GD13816
Dbp73D	GD12444
slp2	GD28647
aos	GD12467
5-HT7	GD16708
Rop	GD13290
Syn	GD18673
Pxd	GD19129
Cbp53E	GD11237
bgcn	GD15199
ex	GD23026
Rrp1	GD27784
B52	GD18917
Eig71Ee	GD12546
Eig71Eg	GD14564
pros	pros
CycC	GD20395
Fur2	Fur2
zfh1	GD21545
zfh2	GD24406
Plc21C	GD23017
gl	GD20175
GluRIA	GD13965
GluRIIA	GD23352
TkR99D	GD17519
Gbeta76C	GD14823
rho	GD13619
Rap1	R
drk	drk
Zw10	GD24733
hh	GD18403
ogre	GD16171
N	N
svr	GD16509
yl	GD24815
fs(1)N	GD16550
fru	fru
Pgd	Pgd
wapl	wapl
fs(1)h	GD16134
mys	GD16875
sim	GD18883
Mlc-c	GD16253
Xpc	GD11107
Ccp84Ag	GD19890
Ccp84Af	GD19531
Ccp84Ae	GD19530
Ccp84Ac	GD19528
inaC	GD11232
retn	GD11780
mdy	GD24087
fs(2)ltoPP43	GD21732
Xpac	GD27274
Su(H)	Su(H)
Hrb27C	Hrb27C
otk	GD25868
TkR86C	GD20709
RYa-R	GD21321
Ac76E	GD14841
B-H2	GD15666
RpII15	GD18953
Bx42	GD24563
elB	GD11969
ci	ci
bap	bap
C15	GD19430
hop	hop
Eip78C	GD14944
RpS2	GD22330
Gdi	GD22354
bab1	GD13499
piwi	GD22206
enc	GD13782
cdi	GD20136
cas	GD19588
orb	GD18393
tok	tok
Scsalpha	GD13780
tws	GD20732
sob	GD22744
bowl	GD23254
FoxL1	GD13797
fd59A	GD11717
fd96Ca	GD11775
fd96Cb	GD21173
Prat	GD19452
Rb97D	GD18114
14-3-3zeta	GD28221
Arl2	GD18536
Eip63F-1	GD13311
Gnf1	GD19753
TfIIB	GD23702
gol	GD24897
Ggamma1	GD10610
Top1	GD27752
eIF2beta	GD12709
upd1	GD15648
por	GD15644
phm	GD24857
gig	GD14854
Sam-S	GD23001
nmd	GD22279
Su(fu)	GD20549
ash1	GD12268
fs(1)M3	GD16223
Yp2	Yp2
U2af50	GD24494
ewg	GD16485
RpS17	GD12925
Mbs	GD14592
ey	ey
sv	GD24421
Shal	GD17561
Calr	GD20777
Rab3	GD25963
scw	GD21741
RpL7	GD23662
yem	GD17982
Sox14	GD15457
Sox15	GD29008
trpl	GD10680
msl-2	GD15895
msl-1	GD27005
Hdc	GD10721
Psc	GD25796
ple	GD13115
robo1	GD25109
faf	GD21604
fln	GD12234
nvy	GD11849
slbo	GD24965
Eip63E	GD13773
wdn	GD18017
Pabp2	GD10545
Rox8	GD28169
Orc3	GD25784
PCNA	mus209
Ets65A	GD13937
Ets98B	GD21351
Ets21C	GD11998
Crys	GD23798
bt	GD24415
Cyp4d1	Cyp4d1
Vha55	GD20555
spi	GD21745
GluProRS	GD18332
dac	GD21910
pie	GD22259
Aef1	GD14959
gcl	GD10597
DNApol-alpha73	GD15188
noc	GD23964
Con	GD13223
PpD3	GD18641
PpD5	GD15211
PpD6	GD23208
betaCOP	GD15643
hbn	GD25243
E5	GD20470
CanA1	GD21557
Cyp4g1	GD24639
GstD2	GD18815
GstD3	GD18816
GstD8	GD18821
Itp-r83A	GD19791
Jhe	GD11161
Jheh1	Jheh1
RpL23	GD11716
gammaTub37C	GD21771
Acon	GD24307
comm	GD12538
dpn	GD15288
hdc	GD21513
hig	GD10090
RpA-70	GD20882
Wnt5	GD15629
Gyc32E	GD22188
Sod2	GD25515
ATPsynbeta	ATPsyn-beta
Dbp45A	GD10627
Nmdmc	GD20823
Galphaf	GD12450
Gel	Gel
GstS1	GD25495
HmgZ	GD25171
Klc	GD12703
Lac	GD10890
Lcch3	GD24824
Mdr50	GD11033
Myo61F	GD13609
Parp	GD29302
Rbp4	GD20485
Rbp9	GD23195
RpS13	GD22414
Dsor1	Dsor1
Ssrp	GD25013
Taf4	GD28808
TfIIFalpha	GD19872
Trf	GD23502
Uch	GD22865
bys	GD16865
ng4	GD16336
brat	GD24188
hep	GD15909
pigeon	GD24190
Cks30A	GD23595
CycD	GD15773
dap	GD10678
CycJ	GD13768
Gsc	GD22947
woc	GD18084
Tbh	Tbh
128up	GD10834
140up	GD20454
Cdc42	GD17456
Map60	GD10668
Arf79F	GD12049
CdsA	GD14055
Nc73EF	GD14681
Taf1	GD19886
Taf5	GD25948
Akt1	GD19074
AP-1-2beta	GD27641
CycE	GD21944
Cyp18a1	GD24470
Def	Def
Dbi	GD13995
Dro	Dro
htl	GD20204
Gtp-bp	GD28654
Itgbn	GD28212
LamC	GD25675
Lrr47	GD23713
Nmdar1	GD19612
Os-C	GD19960
Obp83b	Os-E
RNaseX25	RNaseX25
Ror	GD23669
RpS9	GD12912
RpL18A	GD25466
RpS18	RpS18
RpS19a	GD17290
SerT	GD27404
Sdc	GD25198
TH1	GD15751
Taf6	GD14815
TfIIFbeta	GD20705
TfIIS	GD21971
TpnC47D	TpnC47D
TpnC73F	GD14691
epsilonTry	GD25907
mtrm	GD28590
ato	GD18530
cora	GD11436
emp	GD24900
mtSSB	GD20303
pll	GD28088
trn	GD14431
Wnt4	GD22501
Fkbp14	GD25197
tutl	GD23274
l(2)01289	GD10307
NAT1	GD10930
dmGlut	GD23809
Dcp-1	GD11774
kermit	GD28940
wal	GD25889
Bka	GD23634
Ccs	GD26004
Aldh-III	GD10252
l(2)03659	GD10651
Phb2	GD15441
dock	GD23050
Prosbeta1	GD16019
Sply	GD25496
lwr	GD22953
l(2)05714	GD22673
ATPsynG	GD22207
CG10939	GD11262
CCT5	GD28851
DCTN3-p24	GD25087
Sec61beta	GD11064
MFS14	GD25357
Nup214	GD25096
Pfdn2	GD12831
Srp54k	GD13881
atms	GD19748
simj	GD14256
sqz	GD19275
ppan	GD19398
Xe7	GD19591
Ref1	GD19510
l(3)02640	GD13613
TrpRS	GD20809
Chchd3	GD16654
unc-45	GD19966
Gug	GD14095
l(3)04053	GD12055
l(3)05822	GD20184
sinu	GD13191
Spn	GD13386
msn	GD13385
l(3)07882	GD20226
SsRbeta	GD14599
Sas-4	GD19917
dia	GD24279
cue	GD13471
fbl	GD14883
bol	GD27881
pelo	GD23623
blw	GD11704
eff	GD20402
heph	GD16206
jar	GD18306
ox	GD25813
poe	GD22444
scat	GD23603
ken	GD13771
ms(2)35Ci	GD24002
Hsp60B	GD23041
Sema1a	GD23556
Sema2a	GD11202
RpL13	GD23645
Acam	GD21235
Dif	Dif
HLH3B	GD24607
HLH4C	GD16284
Obp69a	Obp69a
Obp19d	Obp19d
Obp83a	Pbprp3
Obp84a	Obp84a
Obp28a	Obp28a
RpS4	GD14426
RyR	GD10606
TfIIA-L	GD21332
Taf12	GD20646
Taf11	GD22339
a10	GD12430
a5	GD23094
l(2)efl	GD25025
l(2)not	GD25022
babo	GD10620
Rsf1	GD22286
Uch-L5	GD12919
vers	GD14355
Stt3B	GD18237
ND-ACP	GD13611
ND-SGDH	GD12746
PR-Set7	GD18956
l(3)neo43	GD20364
Ssdp	GD20197
SrpRbeta	GD12967
etaTry	GD25909
thetaTry	GD25908
Acp36DE	Acp36DE
Smyd3	GD29063
can	GD12864
cpb	GD23110
Cdc37	Cdc37
Cyp4d2	Cyp4d2
Ms	GD21092
Dop1R1	GD20445
Trp1	GD23649
e(r)	GD15793
Elk	GD11328
fng	GD28062
fra	GD10899
fzo	GD28586
ine	GD22702
Iswi	GD10909
Klp3A	GD27182
La	GD21707
lark	GD29539
Zyx	GD24360
Mad	GD22774
mas	GD13288
Med	GD21590
Mef2	GD10037
Mlh1	GD10548
Pms2	GD25619
Moe	GD16093
msi	msi
Mvl	Mvl
insc	GD25250
Nos	GD22223
pav	pav
Pdh	GD12481
EbpIII	GD11826
repo	GD19218
RnrL	GD22272
RnrS	GD25870
rost	GD22369
rpr	GD12346
Syx5	GD24051
45536	GD17531
Snr1	GD19788
Tig	GD22579
byn	GD14339
twin	GD18310
tsr	GD24977
Wee1	GD22535
wts	GD16829
alpha-Man-IIa	GD18615
Arp6	GD15782
Arp2	GD15743
Arp53D	GD11215
Arp1	GD18855
ana	GD10624
Ank	GD27865
PhKgamma	GD17041
B-H1	GD15668
dhd	GD29543
DNApol-alpha50	GD14084
Dp	GD10952
E2f1	GD19970
Fdh	GD20694
Fdx1	GD12935
Gip	GD12017
Hem	Hem
Irbp	GD18751
BRWD3	GD21089
mRpL12	GD14139
Gem3	GD12861
nmo	GD14046
oaf	GD23159
Pgcl	GD29212
CG4038	GD25225
Pxn	GD13382
Ret	GD21645
Ser12	GD22853
Taf2	GD12884
Tis11	GD28720
AcCoAS	GD12130
Aldh	GD23600
Ance	Ance
CalpA	GD11453
Cdc27	GD13080
Dh44	GD18635
Trl	GD12604
FK506-bp1	GD20361
Gp150	GD11658
Nca	GD14847
Nmda1	GD25804
Odc1	GD15360
Odc2	GD27230
Ptth	GD22948
RpL11	GD11455
Sap47	GD19060
nSyb	GD17610
Syx1A	GD26813
TfIIA-S	GD18345
TpnC41C	GD16679
bcn92	GD16390
beat-Ia	GD24038
Cdc2rk	GD26008
igl	GD11100
klu	GD12837
MED20	GD22443
l(2)dtl	GD11788
Pex1	GD14479
mtd	GD19631
mt:CoI	GD27859
not	GD12336
nuf	GD14483
pck	GD24716
phyl	GD25679
pnut	GD10550
sced	GD10414
shot	GD25734
alien	GD22368
Arf102F	GD20493
Arf51F	GD11108
Awh	GD13784
Bgb	GD17621
Bro	GD13634
Mtor	GD10819
CASK	GD18503
Cdk5	GD25609
Idgf6	GD11213
Chi	GD24979
cnn	GD25761
Crz	Crz
Cp1	GD10995
Cyp6a22	GD11082
Deaf1	GD14830
Dhc36C	GD24116
Dhc62B	GD13441
Dhc93AB	GD20019
Dhc98D	GD21374
Elal	GD21140
Esp	GD21136
FK506-bp2	GD11442
Gycalpha99B	GD21450
Gycbeta100B	GD21561
imd	imd
MAPk-Ak2	GD16235
Calx	GD19389
Nrx-IV	GD14363
Hf	Hf
Pdi	GD12572
Ask1	GD19320
Ptp69D	GD14398
Rab2	GD10420
Rab5	GD22841
Rel	Rel
Rh5	GD23807
Rho1	GD11158
Rlb1	Rlb1
mRpL47	GD20790
Rnp4F	GD27847
RpL7A	GD16190
SdhB	GD10425
45537	GD20051
Spat	GD16801
Sptr	GD16111
Su(Tpl)	GD12242
Tie	GD13248
Ugt	GD14778
Vm32E	GD22183
CG4278	GD24053
barr	GD21719
bif	GD17039
bnl	GD20101
cher	GD20251
croc	GD12117
fax	GD12471
gcm	GD22350
Oda	GD25858
Hel25E	GD11981
prod	prod
mof	GD28183
mia	GD19609
mirr	GD14396
noi	GD19603
RhoL	GD20793
sty	GD27551
sun	GD24676
tilB	GD10326
tim	tim
Vps26	GD29242
CG13397	GD22403
CG11899	GD21426
Acp1	GD22473
Ahcy	GD17210
Cp7Fa	GD16900
Cp7Fb	GD16901
Cp7Fc	GD16903
Eig71Ei	GD14565
Eig71Ek	GD14566
Hr38	GD21688
Mcm2	GD18528
Mlp84B	GD19505
Mtk	Mtk
Ost48	GD16081
Psi	GD25511
Roe1	GD10974
Set	GD19001
CG14630	GD16541
Hydr2	GD23213
CG2846	GD19451
CG2678	GD19958
btn	GD18444
betaggt-I	GD23309
iotaTry	GD15392
Actn3	GD20264
Ag5r	GD27794
AhcyL2	GD20263
CCT3	GD19118
CkIalpha	GD24797
CkIIalpha-i1	GD14574
cype	GD27165
Cyp4c3	GD21551
Cyp4d8	GD13053
Cyp4ae1	GD16594
Cyp9c1	GD11886
Ddx1	GD15023
eIF4E1	GD12928
Fer2LCH	GD21514
Fer1HCH	GD17157
glec	GD18497
Glut3	GD19120
Hr78	GD12114
Hr96	GD21158
Diap2	GD25587
Nap1	GD24995
Nf1	GD21256
Orc2	GD18940
Orc5	GD23929
Pi3K59F	GD11777
Pi3K68D	GD12776
Pi3K92E	GD20048
Rpt2	GD18337
Rpn10	GD14970
Rala	GD16321
RpL22	GD27014
Shark	GD25560
Shc	GD14181
Srp19	GD13067
Ssb-c31a	GD23514
Try29F	GD29052
Ubc2	GD22227
Ubc4	GD14207
abs	GD28540
CG15865	GD15731
CG5861	GD21922
CG14906	GD26981
CG2034	GD13669
oxt	oxt
chn	GD11098
RabX1	GD25040
cutlet	GD22729
dod	GD17528
drl	GD24191
dsf	GD23369
glu	GD21899
hoip	GD23622
jumu	GD18690
kek1	GD22095
kek2	GD23783
ksr	ksr
Rme-8	GD10096
Cul1	GD10516
mbc	GD21040
nAChRalpha3	GD16120
nonA-l	GD28547
RpS21	GD23188
olf186-M	GD11323
otp	GD25245
peng	GD15499
spag	GD15466
spel1	GD23963
tap	GD14703
tos	GD21820
tty	GD28650
unpg	GD10643
alpha-Est1	GD19469
alpha-Est10	GD19481
alpha-Est2	GD19941
alpha-Est3	GD19470
alpha-Est4	alpha-Est4
alpha-Est6	alpha-Est6
alpha-Est7	GD19475
alpha-Est8	GD19478
alpha-Est9	GD19480
dare	GD15255
Acp29AB	Acp29AB
Acp53Ea	Acp53Ea
Acp63F	Acp63F
Acp76A	Acp76A
Apc	GD18013
AstA	GD18275
toc	GD22780
BEAF-32	GD15413
CadN	GD21853
SMC3	GD15741
Cdk8	GD12888
Clp	GD27798
Cpr	GD23403
CycB3	GD18256
Dot	GD23245
Dref	GD22316
ktub	GD11564
Hmu	GD27287
Lis-1	GD11168
RpL9	GD22204
p38a	GD18318
Msr-110	GD13189
Nak	GD21795
NetA	GD15846
NetB	GD15845
nrv1	GD22541
nrv2	GD22540
rin	GD18916
P5cr	GD19267
Rab10	GD17482
Rab11	GD19397
Rab14	GD23961
Rab19	GD14074
Rab18	GD16245
Rab7	GD21052
Rab6	GD27434
Rbf	GD16459
Reg-5	GD24916
RtGEF	GD24253
HDAC1	Rpd3
ScpX	GD21807
Spx	GD28420
TfIIEalpha	GD14320
TfIIEbeta	GD13833
Rtnl2	GD19473
eIF3i	GD22675
Vang	GD26847
Drip	GD25901
apt	GD11779
ara	GD14388
ast	GD23065
caup	GD14390
crq	crq
csul	GD11176
dah	GD17206
dpa	GD29100
grim	GD12347
hrg	GD25311
Faa	GD13297
lama	GD13205
lbm	GD15337
mael	GD15049
mei-P22	GD14002
Vsp37A	GD16515
Tom40	GD16856
